region_cluster_id	n_raw_intervals	n_member_intervals	n_transcripts	n_genes	n_gene_symbols	total_member_bp	mean_member_len	median_member_len	min_member_len	max_member_len	representative_transcript_id	representative_gene_id	representative_transcript_name	representative_gene_symbol	representative_transcript_length	representative_start	representative_end	representative_region_len	top_gene_symbols	source_n_member_intervals	source_n_transcripts	source_n_genes	source_total_member_bp	representative_transcript_header
SR0000525	64	10	10	2	2	867	86.70	87.00	84	87	ENST00000798295.1	ENSG00000303950.1	ENST00000798295	ENSG00000303950	376	258	344	87	ENSG00000253632:8;ENSG00000303950:2	10	10	2	867	ENST00000798295.1|ENSG00000303950.1|-|-|ENST00000798295|ENSG00000303950|376|
SR0000526	72	10	10	5	5	2993	299.30	401.50	85	436	ENST00000406912.1	ENSG00000220702.1	ENST00000406912	ENSG00000220702	606	166	601	436	ZNF277-AS1:4;ENSG00000258662:2;ENSG00000308144:2;ENSG00000220702:1;GUSBP5:1	10	10	5	2993	ENST00000406912.1|ENSG00000220702.1|OTTHUMG00000150464.1|OTTHUMT00000318221.1|ENST00000406912|ENSG00000220702|606|
SR0000527	64	10	10	2	2	3797	379.70	350.50	217	554	ENST00000653432.1	ENSG00000230400.4	LINC01747-204	LINC01747	889	1	554	554	LINC01747:8;ENSG00000283072:2	10	10	2	3797	ENST00000653432.1|ENSG00000230400.4|OTTHUMG00000032047.7|OTTHUMT00000520296.1|LINC01747-204|LINC01747|889|
SR0000528	84	10	10	2	2	2593	259.30	259.50	226	291	ENST00000439341.3	ENSG00000223393.3	ENST00000439341	ENSG00000223393	1382	1031	1321	291	ENSG00000223393:7;ENSG00000288037:3	10	10	2	2593	ENST00000439341.3|ENSG00000223393.3|OTTHUMG00000037791.5|OTTHUMT00000522746.1|ENST00000439341|ENSG00000223393|1382|
SR0000529	76	11	10	3	3	2741	249.18	312.00	116	313	ENST00000673640.1	ENSG00000203875.14	SNHG5-285	SNHG5	2459	1751	2063	313	SNHG5:6;ENSG00000303314:4;ENSG00000295645:1	11	10	3	2741	ENST00000673640.1|ENSG00000203875.14|OTTHUMG00000015144.83|OTTHUMT00000530131.1|SNHG5-285|SNHG5|2459|
SR0000530	84	10	10	2	2	2438	243.80	162.50	97	404	ENST00000833784.1	ENSG00000224173.3	LINC02831-232	LINC02831	1061	620	1023	404	LINC02831:7;ENSG00000235495:3	10	10	2	2438	ENST00000833784.1|ENSG00000224173.3|OTTHUMG00000152486.26|-|LINC02831-232|LINC02831|1061|
SR0000531	36	10	10	2	2	2919	291.90	278.00	274	352	ENST00000798444.1	ENSG00000286198.4	ENST00000798444	ENSG00000286198	836	2	353	352	ENSG00000304011:9;ENSG00000286198:1	10	10	2	2919	ENST00000798444.1|ENSG00000286198.4|OTTHUMG00000192820.1|-|ENST00000798444|ENSG00000286198|836|
SR0000532	60	10	10	2	1	5460	546.00	591.50	107	876	ENST00000657747.2	ENSG00000232767.3	HSPA12A-AS1-202	HSPA12A-AS1	876	1	876	876	HSPA12A-AS1:10	10	10	2	5460	ENST00000657747.2|ENSG00000232767.3|OTTHUMG00000019106.3|OTTHUMT00000506001.1|HSPA12A-AS1-202|HSPA12A-AS1|876|
SR0000533	64	10	10	2	2	5161	516.10	509.50	502	545	ENST00000754602.1	ENSG00000235244.7	DANT2-226	DANT2	1341	434	978	545	DANT2:8;ENSG00000272371:2	10	10	2	5161	ENST00000754602.1|ENSG00000235244.7|OTTHUMG00000022240.3|-|DANT2-226|DANT2|1341|
SR0000534	36	10	10	2	2	3994	399.40	287.00	208	748	ENST00000686658.3	ENSG00000228288.11	PCAT6-206	PCAT6	1649	339	1086	748	PCAT6:9;ENSG00000295157:1	10	10	2	3994	ENST00000686658.3|ENSG00000228288.11|OTTHUMG00000041399.3|-|PCAT6-206|PCAT6|1649|
SR0000535	18	10	10	2	2	1045	104.50	104.00	98	110	ENST00000746031.1	ENSG00000297183.1	ENST00000746031	ENSG00000297183	2190	1	110	110	ENSG00000297227:9;ENSG00000297183:1	10	10	2	1045	ENST00000746031.1|ENSG00000297183.1|-|-|ENST00000746031|ENSG00000297183|2190|
SR0000536	72	11	10	3	3	4739	430.82	354.00	137	926	ENST00000687412.2	ENSG00000289220.2	ENST00000687412	ENSG00000289220	1333	1	926	926	ENSG00000289220:5;ENSG00000295308:4;ENSG00000295264:2	11	10	3	4739	ENST00000687412.2|ENSG00000289220.2|-|-|ENST00000687412|ENSG00000289220|1333|
SR0000537	28	9	9	2	2	756	84.00	84.00	84	84	ENST00000576266.7	ENSG00000290877.2	ROCK1P1-202	ROCK1P1	2686	2415	2498	84	ROCK1P1:8;ENSG00000309846:1	9	9	2	756	ENST00000576266.7|ENSG00000290877.2|-|OTTHUMT00000439673.1|ROCK1P1-202|ROCK1P1|2686|
SR0000538	30	9	9	2	2	1456	161.78	144.00	94	270	ENST00000498923.5	ENSG00000293492.2	NUDT16L2P-202	NUDT16L2P	2533	1	270	270	NUDT16L2P:5;NUDT16-DT:4	9	9	2	1456	ENST00000498923.5|ENSG00000293492.2|-|OTTHUMT00000356870.1|NUDT16L2P-202|NUDT16L2P|2533|
SR0000539	56	9	9	2	2	1825	202.78	205.00	185	205	ENST00000797221.1	ENSG00000178722.17	LINC03122-271	LINC03122	865	1	205	205	ENSG00000303872:7;LINC03122:2	9	9	2	1825	ENST00000797221.1|ENSG00000178722.17|OTTHUMG00000162412.2|-|LINC03122-271|LINC03122|865|
SR0000540	32	9	9	2	2	3989	443.22	300.00	138	825	ENST00000789462.1	ENSG00000271133.8	ITGB8-AS1-212	ITGB8-AS1	2881	592	1416	825	ITGB8-AS1:8;ENSG00000302794:1	9	9	2	3989	ENST00000789462.1|ENSG00000271133.8|OTTHUMG00000185140.1|-|ITGB8-AS1-212|ITGB8-AS1|2881|
SR0000541	60	9	9	2	2	869	96.56	100.00	80	100	ENST00000420431.2	ENSG00000293499.2	ENST00000420431	ENSG00000293499	579	204	303	100	ENSG00000293499:6;MAP3K14-AS1:3	9	9	2	869	ENST00000420431.2|ENSG00000293499.2|-|OTTHUMT00000450932.1|ENST00000420431|ENSG00000293499|579|
SR0000542	72	10	9	5	4	17771	1777.10	1705.50	447	3039	ENST00000671785.1	ENSG00000288510.1	ENST00000671785	ENSG00000288510	3039	1	3039	3039	GALNT9-AS1:7;ENSG00000278872:1;ENSG00000288510:1;ENSG00000288327:1	10	9	5	17771	ENST00000671785.1|ENSG00000288510.1|-|-|ENST00000671785|ENSG00000288510|3039|
SR0000543	60	9	9	2	2	1137	126.33	130.00	103	130	ENST00000719214.1	ENSG00000293817.1	ENST00000719214	ENSG00000293817	603	443	572	130	ENSG00000293817:6;ENSG00000285693:3	9	9	2	1137	ENST00000719214.1|ENSG00000293817.1|-|-|ENST00000719214|ENSG00000293817|603|
SR0000544	32	9	9	2	2	2088	232.00	232.00	232	232	ENST00000314040.1	ENSG00000176515.1	ENST00000314040	ENSG00000176515	3435	64	295	232	LINC01622:8;ENSG00000176515:1	9	9	2	2088	ENST00000314040.1|ENSG00000176515.1|OTTHUMG00000187086.1|OTTHUMT00000474397.1|ENST00000314040|ENSG00000176515|3435|
SR0000545	32	9	9	2	2	1228	136.44	128.00	128	161	ENST00000774242.1	ENSG00000300819.1	ENST00000774242	ENSG00000300819	777	1	161	161	LINC01929:8;ENSG00000300819:1	9	9	2	1228	ENST00000774242.1|ENSG00000300819.1|-|-|ENST00000774242|ENSG00000300819|777|
SR0000546	56	9	9	2	2	1697	188.56	192.00	161	192	ENST00000664886.1	ENSG00000235166.9	LINC01440-214	LINC01440	1118	645	836	192	ENSG00000287478:7;LINC01440:2	9	9	2	1697	ENST00000664886.1|ENSG00000235166.9|OTTHUMG00000032780.13|OTTHUMT00000520411.1|LINC01440-214|LINC01440|1118|
SR0000547	78	9	9	2	2	3476	386.22	470.00	112	517	ENST00000527067.1	ENSG00000255559.2	ZNF252P-AS1-201	ZNF252P-AS1	3236	119	635	517	ZNF252P-AS1:5;ZNF252P:4	9	9	2	3476	ENST00000527067.1|ENSG00000255559.2|OTTHUMG00000165204.1|OTTHUMT00000382672.1|ZNF252P-AS1-201|ZNF252P-AS1|3236|
SR0000548	48	9	9	3	3	1668	185.33	197.00	101	288	ENST00000783342.1	ENSG00000302016.1	ENST00000783342	ENSG00000302016	506	219	506	288	ENSG00000302053:5;ENSG00000298442:2;ENSG00000302016:2	9	9	3	1668	ENST00000783342.1|ENSG00000302016.1|-|-|ENST00000783342|ENSG00000302016|506|
SR0000549	72	9	9	2	2	3485	387.22	410.00	297	459	ENST00000661000.3	ENSG00000287966.4	LARRPM-201	LARRPM	1395	1	459	459	LINC00240:6;LARRPM:3	9	9	2	3485	ENST00000661000.3|ENSG00000287966.4|OTTHUMG00000193868.1|OTTHUMT00000505650.1|LARRPM-201|LARRPM|1395|
SR0000550	32	9	9	2	2	1260	140.00	140.00	140	140	ENST00000602846.5	ENSG00000293393.2	ENST00000602846	ENSG00000293393	722	354	493	140	ENSG00000293393:8;ENSG00000296261:1	9	9	2	1260	ENST00000602846.5|ENSG00000293393.2|-|OTTHUMT00000467497.1|ENST00000602846|ENSG00000293393|722|
SR0000551	56	9	9	2	2	1872	208.00	209.00	206	209	ENST00000661038.2	ENSG00000245864.6	MEF2C-AS2-204	MEF2C-AS2	1376	1168	1376	209	MEF2C-AS2:7;GSCAR:2	9	9	2	1872	ENST00000661038.2|ENSG00000245864.6|OTTHUMG00000162629.3|OTTHUMT00000527406.1|MEF2C-AS2-204|MEF2C-AS2|1376|
SR0000552	44	10	9	2	2	2271	227.10	242.50	114	403	ENST00000816765.1	ENSG00000306282.1	ENST00000816765	ENSG00000306282	475	73	475	403	ENSG00000306282:7;ENSG00000234967:3	10	9	2	2271	ENST00000816765.1|ENSG00000306282.1|-|-|ENST00000816765|ENSG00000306282|475|
SR0000553	32	9	9	2	2	891	99.00	99.00	99	99	ENST00000693618.2	ENSG00000259280.3	ENST00000693618	ENSG00000259280	749	638	736	99	ENSG00000259280:8;ENSG00000302288:1	9	9	2	891	ENST00000693618.2|ENSG00000259280.3|OTTHUMG00000172258.3|-|ENST00000693618|ENSG00000259280|749|
SR0000554	32	9	9	2	2	1197	133.00	133.00	133	133	ENST00000613141.1	ENSG00000290923.2	PGM5P2-202	PGM5P2	1980	738	870	133	PGM5P2:8;FRG1HP:1	9	9	2	1197	ENST00000613141.1|ENSG00000290923.2|-|OTTHUMT00000477732.1|PGM5P2-202|PGM5P2|1980|
SR0000555	56	9	9	2	2	991	110.11	102.00	99	124	ENST00000654059.4	ENSG00000259203.5	ENST00000654059	ENSG00000259203	1359	1236	1359	124	ENSG00000259203:7;ENSG00000301771:2	9	9	2	991	ENST00000654059.4|ENSG00000259203.5|OTTHUMG00000172420.6|OTTHUMT00000519821.1|ENST00000654059|ENSG00000259203|1359|
SR0000556	32	9	9	2	2	4048	449.78	469.00	410	471	ENST00000565046.1	ENSG00000261839.1	ENST00000565046	ENSG00000261839	2830	1	471	471	ZSCAN16-AS1:8;ENSG00000261839:1	9	9	2	4048	ENST00000565046.1|ENSG00000261839.1|OTTHUMG00000175907.1|OTTHUMT00000431260.1|ENST00000565046|ENSG00000261839|2830|
SR0000557	56	9	9	2	2	1496	166.22	159.00	157	180	ENST00000439562.1	ENSG00000227230.2	ENST00000439562	ENSG00000227230	694	58	237	180	CEP170P1:7;ENSG00000227230:2	9	9	2	1496	ENST00000439562.1|ENSG00000227230.2|OTTHUMG00000039875.1|OTTHUMT00000096208.1|ENST00000439562|ENSG00000227230|694|
SR0000558	72	9	9	2	2	1497	166.33	170.00	159	170	ENST00000501869.7	ENSG00000247828.11	TMEM161B-DT-203	TMEM161B-DT	880	316	485	170	TMEM161B-DT:5;MIR9-2HG:4	9	9	2	1497	ENST00000501869.7|ENSG00000247828.11|OTTHUMG00000162704.21|OTTHUMT00000370153.2|TMEM161B-DT-203|TMEM161B-DT|880|
SR0000559	72	9	9	2	2	1221	135.67	136.00	135	136	ENST00000770423.1	ENSG00000241684.9	ADAMTS9-AS2-220	ADAMTS9-AS2	1228	878	1013	136	ENSG00000300285:6;ADAMTS9-AS2:3	9	9	2	1221	ENST00000770423.1|ENSG00000241684.9|OTTHUMG00000158725.3|-|ADAMTS9-AS2-220|ADAMTS9-AS2|1228|
SR0000560	40	9	9	4	4	4221	469.00	444.00	282	876	ENST00000715846.1	ENSG00000287110.4	ACAD9-DT-205	ACAD9-DT	3377	587	1462	876	ACAD9-DT:6;ENSG00000290241:1;ENSG00000295728:1;ENSG00000299667:1	9	9	4	4221	ENST00000715846.1|ENSG00000287110.4|-|-|ACAD9-DT-205|ACAD9-DT|3377|
SR0000561	72	9	9	2	2	1232	136.89	137.00	101	153	ENST00000803683.1	ENSG00000304481.1	ENST00000803683	ENSG00000304481	935	117	269	153	ENSG00000237464:6;ENSG00000304481:3	9	9	2	1232	ENST00000803683.1|ENSG00000304481.1|-|-|ENST00000803683|ENSG00000304481|935|
SR0000562	56	9	9	2	2	2043	227.00	240.00	124	240	ENST00000652155.1	ENSG00000235888.6	LINC02940-203	LINC02940	5629	1195	1434	240	ENSG00000296867:7;LINC02940:2	9	9	2	2043	ENST00000652155.1|ENSG00000235888.6|OTTHUMG00000066035.7|OTTHUMT00000499832.1|LINC02940-203|LINC02940|5629|
SR0000563	32	9	9	2	2	1674	186.00	186.00	186	186	ENST00000754889.1	ENSG00000226007.4	FAM88F-222	FAM88F	1994	824	1009	186	ENSG00000306922:8;FAM88F:1	9	9	2	1674	ENST00000754889.1|ENSG00000226007.4|OTTHUMG00000013217.3|-|FAM88F-222|FAM88F|1994|
SR0000564	32	9	9	2	2	3616	401.78	494.00	161	503	ENST00000602458.1	ENSG00000269973.1	ENST00000602458	ENSG00000269973	3231	2729	3231	503	ENSG00000287305:8;ENSG00000269973:1	9	9	2	3616	ENST00000602458.1|ENSG00000269973.1|OTTHUMG00000183966.2|OTTHUMT00000467630.2|ENST00000602458|ENSG00000269973|3231|
SR0000565	72	9	9	2	1	8215	912.78	697.00	658	1494	ENST00000613450.4	ENSG00000274454.4	SLC67A1-AS-208	SLC67A1-AS	1660	167	1660	1494	SLC67A1-AS:9	9	9	2	8215	ENST00000613450.4|ENSG00000274454.4|OTTHUMG00000190752.1|OTTHUMT00000485910.1|SLC67A1-AS-208|SLC67A1-AS|1660|
SR0000566	28	9	9	2	2	915	101.67	104.00	83	104	ENST00000813447.1	ENSG00000289326.3	ENST00000813447	ENSG00000289326	1676	229	332	104	ENSG00000289326:8;LINC01460:1	9	9	2	915	ENST00000813447.1|ENSG00000289326.3|-|-|ENST00000813447|ENSG00000289326|1676|
SR0000567	32	9	9	2	2	1210	134.44	134.00	134	136	ENST00000719863.1	ENSG00000289996.2	ENST00000719863	ENSG00000289996	961	158	293	136	ENSG00000237896:8;ENSG00000289996:1	9	9	2	1210	ENST00000719863.1|ENSG00000289996.2|-|-|ENST00000719863|ENSG00000289996|961|
SR0000568	80	9	9	2	2	1072	119.11	127.00	87	127	ENST00000798118.1	ENSG00000253182.2	LINC02948-210	LINC02948	730	1	127	127	ENSG00000303950:5;LINC02948:4	9	9	2	1072	ENST00000798118.1|ENSG00000253182.2|OTTHUMG00000163796.1|-|LINC02948-210|LINC02948|730|
SR0000569	80	13	9	2	2	1710	131.54	111.00	108	248	ENST00000814610.1	ENSG00000305989.1	ENST00000814610	ENSG00000305989	851	298	545	248	LINC01166:9;ENSG00000305989:4	13	9	2	1710	ENST00000814610.1|ENSG00000305989.1|-|-|ENST00000814610|ENSG00000305989|851|
SR0000570	32	9	9	2	2	1742	193.56	115.00	105	427	ENST00000433161.2	ENSG00000225978.4	HAR1A-201	HAR1A	1917	1	427	427	HAR1B:8;HAR1A:1	9	9	2	1742	ENST00000433161.2|ENSG00000225978.4|OTTHUMG00000140136.1|OTTHUMT00000276287.1|HAR1A-201|HAR1A|1917|
SR0000571	88	10	9	3	3	8583	858.30	615.00	96	1627	ENST00000776923.1	ENSG00000289429.2	ENST00000776923	ENSG00000289429	2376	750	2376	1627	ENSG00000289429:5;ENSG00000295251:4;ENSG00000301256:1	10	9	3	8583	ENST00000776923.1|ENSG00000289429.2|-|-|ENST00000776923|ENSG00000289429|2376|
SR0000572	16	9	9	2	2	756	84.00	84.00	84	84	ENST00000377469.1	ENSG00000204792.3	LINC01291-201	LINC01291	3662	3210	3293	84	LINC01291:8;ENSG00000228541:1	9	9	2	756	ENST00000377469.1|ENSG00000204792.3|OTTHUMG00000152932.1|OTTHUMT00000328656.1|LINC01291-201|LINC01291|3662|
SR0000573	32	9	9	2	2	893	99.22	89.00	81	159	ENST00000777238.1	ENSG00000301235.1	ENST00000777238	ENSG00000301235	542	83	241	159	ENSG00000235538:8;ENSG00000301235:1	9	9	2	893	ENST00000777238.1|ENSG00000301235.1|-|-|ENST00000777238|ENSG00000301235|542|
SR0000574	80	10	9	2	2	3305	330.50	227.00	225	547	ENST00000545800.1	ENSG00000257086.2	ENST00000545800	ENSG00000257086	853	307	853	547	PPP1R14B-AS1:6;ENSG00000257086:4	10	9	2	3305	ENST00000545800.1|ENSG00000257086.2|OTTHUMG00000167847.2|OTTHUMT00000396588.2|ENST00000545800|ENSG00000257086|853|
SR0000575	64	9	9	2	2	900	100.00	100.00	97	102	ENST00000783194.1	ENSG00000301982.1	ENST00000783194	ENSG00000301982	644	125	226	102	ENSG00000301982:6;ENSG00000301998:3	9	9	2	900	ENST00000783194.1|ENSG00000301982.1|-|-|ENST00000783194|ENSG00000301982|644|
SR0000576	56	9	9	4	4	1332	148.00	169.00	87	169	ENST00000486913.3	ENSG00000241956.12	LINC03000-201	LINC03000	1618	421	589	169	LINC03000:5;ENSG00000303525:2;ENSG00000236358:1;ENSG00000305712:1	9	9	4	1332	ENST00000486913.3|ENSG00000241956.12|OTTHUMG00000162877.18|OTTHUMT00000370926.1|LINC03000-201|LINC03000|1618|
SR0000577	80	9	9	2	2	2094	232.67	233.00	231	233	ENST00000688607.1	ENSG00000289203.2	ENST00000688607	ENSG00000289203	1783	962	1194	233	ENSG00000299453:5;ENSG00000289203:4	9	9	2	2094	ENST00000688607.1|ENSG00000289203.2|-|-|ENST00000688607|ENSG00000289203|1783|
SR0000578	32	9	9	2	2	1856	206.22	223.00	97	223	ENST00000417883.2	ENSG00000225269.4	LINC00705-201	LINC00705	1745	607	829	223	LINC00705:8;MANCR:1	9	9	2	1856	ENST00000417883.2|ENSG00000225269.4|OTTHUMG00000017575.9|OTTHUMT00000046511.1|LINC00705-201|LINC00705|1745|
SR0000579	32	9	9	2	2	2237	248.56	250.00	233	252	ENST00000416764.5	ENSG00000290862.2	NMRAL2P-202	NMRAL2P	1192	345	596	252	NMRAL2P:8;ENSG00000307193:1	9	9	2	2237	ENST00000416764.5|ENSG00000290862.2|-|OTTHUMT00000344968.1|NMRAL2P-202|NMRAL2P|1192|
SR0000580	56	9	9	2	2	3658	406.44	420.00	190	608	ENST00000823814.1	ENSG00000307090.1	ENST00000823814	ENSG00000307090	736	129	736	608	ENSG00000307038:7;ENSG00000307090:2	9	9	2	3658	ENST00000823814.1|ENSG00000307090.1|-|-|ENST00000823814|ENSG00000307090|736|
SR0000581	32	9	9	2	2	2060	228.89	226.00	225	239	ENST00000815534.1	ENSG00000237187.10	NR2F1-AS1-278	NR2F1-AS1	1250	1	239	239	ENSG00000306172:8;NR2F1-AS1:1	9	9	2	2060	ENST00000815534.1|ENSG00000237187.10|OTTHUMG00000162643.7|-|NR2F1-AS1-278|NR2F1-AS1|1250|
SR0000582	32	9	9	2	2	1972	219.11	238.00	162	238	ENST00000653781.2	ENSG00000286691.2	ENST00000653781	ENSG00000286691	1650	158	395	238	ENSG00000286691:8;ENSG00000307095:1	9	9	2	1972	ENST00000653781.2|ENSG00000286691.2|OTTHUMG00000195440.1|OTTHUMT00000526913.1|ENST00000653781|ENSG00000286691|1650|
SR0000583	80	9	9	2	2	3766	418.44	419.00	414	419	ENST00000415479.3	ENSG00000230838.3	LINC01614-201	LINC01614	2294	1673	2091	419	LINC00607:5;LINC01614:4	9	9	2	3766	ENST00000415479.3|ENSG00000230838.3|OTTHUMG00000154838.1|OTTHUMT00000337328.1|LINC01614-201|LINC01614|2294|
SR0000584	32	9	9	2	2	3403	378.11	196.00	186	642	ENST00000773460.1	ENSG00000300693.1	ENST00000773460	ENSG00000300693	783	3	644	642	ENSG00000300693:8;ENSG00000300712:1	9	9	2	3403	ENST00000773460.1|ENSG00000300693.1|-|-|ENST00000773460|ENSG00000300693|783|
SR0000585	72	9	9	2	2	1321	146.78	147.00	145	147	ENST00000545609.5	ENSG00000293316.2	PLEKHA8P1-203	PLEKHA8P1	883	84	230	147	PLEKHA8P1:6;DBX2-AS1:3	9	9	2	1321	ENST00000545609.5|ENSG00000293316.2|-|-|PLEKHA8P1-203|PLEKHA8P1|883|
SR0000586	32	9	9	2	2	1852	205.78	211.00	164	211	ENST00000581549.2	ENSG00000227036.11	LINC00511-213	LINC00511	2266	708	918	211	LINC00511:8;ENSG00000302910:1	9	9	2	1852	ENST00000581549.2|ENSG00000227036.11|OTTHUMG00000132227.20|OTTHUMT00000441438.2|LINC00511-213|LINC00511|2266|
SR0000587	40	9	9	2	2	708	78.67	78.00	78	81	ENST00000813026.1	ENSG00000305803.1	ENST00000813026	ENSG00000305803	1188	608	688	81	IL12A-AS1:7;ENSG00000305803:2	9	9	2	708	ENST00000813026.1|ENSG00000305803.1|-|-|ENST00000813026|ENSG00000305803|1188|
SR0000588	32	9	9	2	2	1616	179.56	188.00	103	289	ENST00000796010.1	ENSG00000229672.4	ENST00000796010	ENSG00000229672	322	28	316	289	ENSG00000229672:6;ENSG00000303616:3	9	9	2	1616	ENST00000796010.1|ENSG00000229672.4|OTTHUMG00000017566.4|-|ENST00000796010|ENSG00000229672|322|
SR0000589	80	9	9	2	2	1564	173.78	197.00	86	216	ENST00000767792.1	ENSG00000253236.3	LINC02143-202	LINC02143	731	1	216	216	LINC03000:5;LINC02143:4	9	9	2	1564	ENST00000767792.1|ENSG00000253236.3|OTTHUMG00000162886.2|-|LINC02143-202|LINC02143|731|
SR0000590	72	9	9	2	2	3879	431.00	427.00	185	605	ENST00000792232.1	ENSG00000303157.1	ENST00000792232	ENSG00000303157	1426	386	990	605	PANCR:6;ENSG00000303157:3	9	9	2	3879	ENST00000792232.1|ENSG00000303157.1|-|-|ENST00000792232|ENSG00000303157|1426|
SR0000591	32	9	9	2	2	882	98.00	98.00	96	100	ENST00000755910.1	ENSG00000288047.4	ENST00000755910	ENSG00000288047	688	85	184	100	ENSG00000288047:8;ENSG00000298516:1	9	9	2	882	ENST00000755910.1|ENSG00000288047.4|OTTHUMG00000194146.1|-|ENST00000755910|ENSG00000288047|688|
SR0000592	32	9	9	2	2	2317	257.44	182.00	179	354	ENST00000799927.1	ENSG00000304123.1	ENST00000799927	ENSG00000304123	1714	668	1021	354	ENSG00000304123:8;ENSG00000304147:1	9	9	2	2317	ENST00000799927.1|ENSG00000304123.1|-|-|ENST00000799927|ENSG00000304123|1714|
SR0000593	32	9	9	2	2	2523	280.33	396.00	84	396	ENST00000499809.1	ENSG00000246100.6	LINC00900-201	LINC00900	3322	644	1039	396	LINC00900:8;ENSG00000288020:1	9	9	2	2523	ENST00000499809.1|ENSG00000246100.6|OTTHUMG00000168216.3|OTTHUMT00000398858.1|LINC00900-201|LINC00900|3322|
SR0000594	32	9	9	2	2	2678	297.56	154.00	104	549	ENST00000661582.1	ENSG00000228649.12	SNHG26-209	SNHG26	1251	20	568	549	SNHG26:8;ENSG00000297586:1	9	9	2	2678	ENST00000661582.1|ENSG00000228649.12|OTTHUMG00000152563.18|OTTHUMT00000515570.1|SNHG26-209|SNHG26|1251|
SR0000595	56	9	9	2	2	1700	188.89	193.00	124	231	ENST00000451894.8	ENSG00000215068.11	ANXA2R-AS1-202	ANXA2R-AS1	1846	1	231	231	ANXA2R-AS1:6;ENSG00000286656:3	9	9	2	1700	ENST00000451894.8|ENSG00000215068.11|OTTHUMG00000131146.5|OTTHUMT00000253838.2|ANXA2R-AS1-202|ANXA2R-AS1|1846|
SR0000596	50	11	9	2	2	3454	314.00	367.00	156	526	ENST00000747162.1	ENSG00000226824.9	ENST00000747162	ENSG00000226824	596	71	596	526	ENSG00000226824:7;ENSG00000261467:4	11	9	2	3454	ENST00000747162.1|ENSG00000226824.9|OTTHUMG00000156753.2|-|ENST00000747162|ENSG00000226824|596|
SR0000597	16	9	9	2	2	1240	137.78	138.00	136	138	ENST00000685998.2	ENSG00000287252.4	ENST00000685998	ENSG00000287252	1456	327	464	138	ENSG00000287252:8;ENSG00000302043:1	9	9	2	1240	ENST00000685998.2|ENSG00000287252.4|OTTHUMG00000195203.1|-|ENST00000685998|ENSG00000287252|1456|
SR0000598	80	9	9	2	2	1272	141.33	157.00	104	160	ENST00000782102.1	ENSG00000224260.7	ENST00000782102	ENSG00000224260	578	419	578	160	ENSG00000224260:5;ENSG00000287902:4	9	9	2	1272	ENST00000782102.1|ENSG00000224260.7|OTTHUMG00000036359.2|-|ENST00000782102|ENSG00000224260|578|
SR0000599	52	9	9	2	2	967	107.44	106.00	103	113	ENST00000691549.3	ENSG00000286198.4	ENST00000691549	ENSG00000286198	1290	1178	1290	113	ENSG00000286198:7;ENSG00000304011:2	9	9	2	967	ENST00000691549.3|ENSG00000286198.4|OTTHUMG00000192820.1|-|ENST00000691549|ENSG00000286198|1290|
SR0000600	52	9	9	2	2	1768	196.44	165.00	86	268	ENST00000849835.1	ENSG00000310449.1	ENST00000849835	ENSG00000310449	1119	425	692	268	ENSG00000310449:7;LINC02296:2	9	9	2	1768	ENST00000849835.1|ENSG00000310449.1|-|-|ENST00000849835|ENSG00000310449|1119|
SR0000601	32	9	9	2	2	3141	349.00	307.00	307	403	ENST00000702115.2	ENSG00000289959.2	ENST00000702115	ENSG00000289959	1559	1	403	403	ENSG00000289596:8;ENSG00000289959:1	9	9	2	3141	ENST00000702115.2|ENSG00000289959.2|-|-|ENST00000702115|ENSG00000289959|1559|
SR0000602	32	9	9	2	2	2123	235.89	125.00	82	491	ENST00000800898.1	ENSG00000304196.1	ENST00000800898	ENSG00000304196	979	1	491	491	ENSG00000304173:8;ENSG00000304196:1	9	9	2	2123	ENST00000800898.1|ENSG00000304196.1|-|-|ENST00000800898|ENSG00000304196|979|
SR0000603	56	9	9	2	2	2660	295.56	108.00	81	688	ENST00000441253.2	ENSG00000290671.2	PYY2-202	PYY2	1076	316	1003	688	ENSG00000301334:7;PYY2:2	9	9	2	2660	ENST00000441253.2|ENSG00000290671.2|-|OTTHUMT00000255606.2|PYY2-202|PYY2|1076|
SR0000604	56	9	9	2	2	795	88.33	89.00	83	89	ENST00000685000.2	ENSG00000289201.2	ENST00000685000	ENSG00000289201	1350	1062	1150	89	ENSG00000289201:7;ENSG00000307788:2	9	9	2	795	ENST00000685000.2|ENSG00000289201.2|-|-|ENST00000685000|ENSG00000289201|1350|
SR0000605	72	14	9	2	2	4014	286.71	274.00	216	457	ENST00000579367.1	ENSG00000264016.4	ENST00000579367	ENSG00000264016	457	1	457	457	TMEM220-AS1:11;ENSG00000264016:3	14	9	2	4014	ENST00000579367.1|ENSG00000264016.4|OTTHUMG00000178048.5|OTTHUMT00000446397.1|ENST00000579367|ENSG00000264016|457|
SR0000606	32	9	9	2	2	1798	199.78	205.00	156	206	ENST00000722448.1	ENSG00000232624.9	LINC01517-256	LINC01517	1116	537	742	206	LINC01517:8;ENSG00000294340:1	9	9	2	1798	ENST00000722448.1|ENSG00000232624.9|OTTHUMG00000017878.9|-|LINC01517-256|LINC01517|1116|
