id	chromosome	start	end	length	total_kmers	matched_kmer_positions	match_count	match_fraction
negative_204	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	231342305	231343207	902	878	170	187	0.193622
negative_205	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	109186879	109187793	914	890	169	194	0.189888
negative_206	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	184648227	184649181	954	930	159	176	0.170968
negative_207	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	179535198	179536065	867	843	161	182	0.190985
negative_208	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	8531186	8532171	985	961	165	193	0.171696
negative_209	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	230121095	230122023	928	904	161	181	0.178097
negative_210	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	78818255	78819136	881	857	163	182	0.190198
negative_211	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	229609505	229610472	967	943	167	182	0.177094
negative_212	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	209255026	209255931	905	881	148	166	0.167991
negative_213	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	89295736	89296619	883	859	152	173	0.176950
negative_214	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	147111727	147112692	965	941	181	203	0.192349
negative_215	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	42729515	42730448	933	909	172	197	0.189219
negative_216	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	21692782	21693716	934	910	149	168	0.163736
negative_217	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	11222734	11223716	982	958	180	199	0.187891
negative_218	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	245408098	245409002	904	880	162	185	0.184091
negative_219	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	171146146	171147003	857	833	168	196	0.201681
negative_220	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	136533721	136534673	952	928	169	184	0.182112
negative_221	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	143271358	143272320	962	938	193	212	0.205757
negative_222	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	64928902	64929861	959	935	163	179	0.174332
negative_223	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	95401755	95402653	898	874	163	179	0.186499
negative_224	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	202897987	202898977	990	966	179	207	0.185300
negative_225	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	247983586	247984523	937	913	143	164	0.156627
negative_226	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	75824398	75825368	970	946	173	193	0.182875
negative_227	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	169040913	169041823	910	886	163	173	0.183973
negative_228	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	10822577	10823539	962	938	153	169	0.163113
negative_229	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	144988195	144989136	941	917	174	197	0.189749
negative_230	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	87359451	87360440	989	965	174	193	0.180311
negative_231	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	69242340	69243322	982	958	191	212	0.199374
negative_232	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	105708753	105709690	937	913	141	160	0.154436
negative_233	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	40546009	40546944	935	911	185	215	0.203074
negative_234	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	209689831	209690800	969	945	161	179	0.170370
negative_235	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	187890390	187891390	1000	976	203	231	0.207992
negative_236	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	59809891	59810741	850	826	147	171	0.177966
negative_237	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	137237459	137238324	865	841	165	188	0.196195
negative_238	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	120015277	120016141	864	840	162	176	0.192857
negative_239	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	161762875	161763728	853	829	151	167	0.182147
negative_240	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	39200959	39201898	939	915	168	199	0.183607
negative_241	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	183253703	183254660	957	933	179	204	0.191854
negative_242	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	136911523	136912490	967	943	165	179	0.174973
negative_243	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	85455323	85456318	995	971	196	232	0.201854
negative_244	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	68961141	68962093	952	928	186	205	0.200431
negative_245	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	95254613	95255568	955	931	155	179	0.166488
negative_246	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	188429528	188430471	943	919	174	190	0.189336
negative_247	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	50126673	50127625	952	928	179	204	0.192888
negative_248	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	150617374	150618233	859	835	151	168	0.180838
negative_249	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	103477647	103478601	954	930	165	178	0.177419
negative_250	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	176664151	176665064	913	889	167	184	0.187852
negative_251	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	62816490	62817376	886	862	178	196	0.206497
negative_252	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	130652908	130653858	950	926	182	198	0.196544
negative_253	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	188531521	188532503	982	958	183	201	0.191023
negative_254	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	164043053	164043930	877	853	139	150	0.162954
negative_255	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	20946306	20947240	934	910	170	190	0.186813
negative_256	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	158729425	158730374	949	925	168	189	0.181622
negative_257	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	129624818	129625677	859	835	159	169	0.190419
negative_258	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	118454944	118455816	872	848	158	180	0.186321
negative_259	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	101865682	101866676	994	970	180	201	0.185567
negative_260	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	105585376	105586269	893	869	153	170	0.176064
negative_261	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	67219526	67220464	938	914	160	175	0.175055
negative_262	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	38850545	38851510	965	941	156	174	0.165781
negative_263	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	127501198	127502087	889	865	176	198	0.203468
negative_264	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	72253757	72254621	864	840	170	194	0.202381
negative_265	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	101917092	101918016	924	900	163	180	0.181111
negative_266	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	184705729	184706714	985	961	157	172	0.163371
negative_267	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	15876027	15876938	911	887	164	184	0.184893
negative_268	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	15124886	15125840	954	930	170	189	0.182796
negative_269	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	211082183	211083085	902	878	143	158	0.162870
negative_270	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	102564298	102565216	918	894	176	198	0.196868
negative_271	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	183138137	183139106	969	945	190	216	0.201058
negative_272	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	207099708	207100669	961	937	177	201	0.188901
negative_273	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	85990380	85991324	944	920	166	194	0.180435
negative_274	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	55006773	55007760	987	963	179	194	0.185877
negative_275	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	20337588	20338468	880	856	152	159	0.177570
negative_276	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	175291676	175292630	954	930	169	195	0.181720
negative_277	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	245402802	245403669	867	843	140	154	0.166074
negative_278	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	238535995	238536962	967	943	165	197	0.174973
negative_279	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	66801696	66802649	953	929	198	222	0.213132
negative_280	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	28751776	28752701	925	901	166	188	0.184240
negative_281	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	231444399	231445295	896	872	155	179	0.177752
negative_282	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	215234299	215235232	933	909	170	185	0.187019
negative_283	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	172865442	172866326	884	860	165	176	0.191860
negative_284	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	163281709	163282640	931	907	159	171	0.175303
negative_285	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	135532939	135533923	984	960	184	210	0.191667
negative_286	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	133470317	133471292	975	951	184	204	0.193481
negative_287	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	25820020	25820958	938	914	143	161	0.156455
negative_288	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	114666877	114667863	986	962	182	211	0.189189
negative_289	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	32212567	32213446	879	855	177	199	0.207018
negative_290	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	103340031	103340926	895	871	174	195	0.199770
negative_291	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	116160131	116161109	978	954	173	189	0.181342
negative_292	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	209115165	209116063	898	874	168	193	0.192220
negative_293	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	27400266	27401135	869	845	167	184	0.197633
negative_294	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	227141988	227142927	939	915	183	206	0.200000
negative_295	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	20884399	20885366	967	943	180	206	0.190880
negative_296	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	121437950	121438944	994	970	180	212	0.185567
negative_297	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	247855998	247856905	907	883	140	155	0.158550
negative_298	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	51859264	51860135	871	847	168	188	0.198347
negative_299	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	155313488	155314369	881	857	164	195	0.191365
negative_300	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	132836001	132836913	912	888	158	185	0.177928
negative_301	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	172486068	172487008	940	916	179	205	0.195415
negative_302	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	2009120	2010003	883	859	158	183	0.183935
negative_303	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	225586182	225587071	889	865	154	175	0.178035
negative_304	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	1558216	1559185	969	945	196	227	0.207407
negative_305	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	48702511	48703372	861	837	145	165	0.173238
negative_306	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	114038481	114039414	933	909	156	174	0.171617
negative_307	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	128759393	128760328	935	911	164	186	0.180022
negative_308	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	242469410	242470328	918	894	175	200	0.195749
negative_309	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	13498758	13499647	889	865	159	178	0.183815
negative_310	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	43550444	43551352	908	884	159	173	0.179864
negative_311	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	78938428	78939395	967	943	185	207	0.196182
negative_312	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	75252634	75253514	880	856	168	190	0.196262
negative_313	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	239834011	239834878	867	843	140	152	0.166074
negative_314	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	79756358	79757303	945	921	183	210	0.198697
negative_315	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	143993750	143994747	997	973	194	216	0.199383
negative_316	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	195910123	195911060	937	913	171	188	0.187295
negative_317	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	27770195	27771191	996	972	177	197	0.182099
negative_318	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	239281392	239282367	975	951	148	174	0.155626
negative_319	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	96575264	96576127	863	839	158	181	0.188319
negative_320	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	122794411	122795351	940	916	161	178	0.175764
negative_321	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	149193492	149194342	850	826	136	154	0.164649
negative_322	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	211423699	211424583	884	860	148	165	0.172093
negative_323	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	143277647	143278640	993	969	170	189	0.175439
negative_324	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	57770479	57771384	905	881	162	184	0.183882
negative_325	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	50194156	50195118	962	938	173	200	0.184435
negative_326	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	102067641	102068599	958	934	195	214	0.208779
negative_327	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	199647014	199648013	999	975	191	214	0.195897
negative_328	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	246768910	246769868	958	934	154	178	0.164882
negative_329	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	180850866	180851767	901	877	170	188	0.193843
negative_330	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	63250595	63251561	966	942	180	203	0.191083
negative_331	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	246797656	246798632	976	952	170	200	0.178571
negative_332	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	186146821	186147764	943	919	161	182	0.175190
negative_333	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	11420652	11421617	965	941	190	207	0.201913
negative_334	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	154274240	154275103	863	839	162	179	0.193087
negative_335	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	210329148	210330070	922	898	165	191	0.183742
negative_336	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	114253341	114254294	953	929	161	178	0.173305
negative_337	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	118871363	118872248	885	861	153	159	0.177700
negative_338	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	219715423	219716339	916	892	157	172	0.176009
negative_339	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	3841569	3842477	908	884	168	182	0.190045
negative_340	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	95316053	95317009	956	932	168	189	0.180258
negative_341	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	158714042	158714936	894	870	169	181	0.194253
negative_342	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	173757788	173758703	915	891	164	186	0.184063
negative_343	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	89871707	89872691	984	960	169	188	0.176042
negative_344	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	178070419	178071385	966	942	175	200	0.185775
negative_345	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	213007739	213008590	851	827	126	143	0.152358
negative_346	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	187859971	187860832	861	837	141	162	0.168459
negative_347	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	44768506	44769479	973	949	175	193	0.184405
negative_348	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	124690675	124691555	880	856	147	167	0.171729
negative_349	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	177889823	177890787	964	940	163	183	0.173404
negative_350	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	178941392	178942310	918	894	170	184	0.190157
negative_351	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	46953559	46954439	880	856	161	186	0.188084
negative_352	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	167708640	167709620	980	956	186	204	0.194561
negative_353	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	136077329	136078191	862	838	137	156	0.163484
negative_354	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	52203387	52204245	858	834	166	197	0.199041
negative_355	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	248927512	248928425	913	889	163	181	0.183352
negative_356	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	25642509	25643460	951	927	163	183	0.175836
negative_357	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	194208250	194209113	863	839	149	162	0.177592
negative_358	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	36347572	36348476	904	880	172	202	0.195455
negative_359	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	191941478	191942470	992	968	171	195	0.176653
negative_360	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	202015170	202016154	984	960	172	191	0.179167
negative_361	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	90062875	90063864	989	965	195	219	0.202073
negative_362	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	166597744	166598603	859	835	146	171	0.174850
negative_363	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	80586832	80587687	855	831	160	178	0.192539
negative_364	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	222285019	222285995	976	952	184	204	0.193277
negative_365	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	123525015	123525896	881	857	149	167	0.173862
negative_366	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	174981834	174982795	961	937	170	192	0.181430
negative_367	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	221173428	221174375	947	923	167	188	0.180932
negative_368	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	234670536	234671387	851	827	138	161	0.166868
negative_369	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	200381447	200382344	897	873	169	189	0.193585
negative_370	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	17405842	17406831	989	965	178	197	0.184456
negative_371	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	115228662	115229524	862	838	163	184	0.194511
negative_372	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	230509871	230510740	869	845	134	150	0.158580
negative_373	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	140796026	140796988	962	938	185	211	0.197228
negative_374	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	155894509	155895396	887	863	139	156	0.161066
negative_375	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	33231173	33232152	979	955	192	218	0.201047
negative_376	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	24722507	24723475	968	944	164	192	0.173729
negative_377	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	29671196	29672150	954	930	170	187	0.182796
negative_378	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	116389471	116390460	989	965	168	193	0.174093
negative_379	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	140491744	140492658	914	890	167	184	0.187640
negative_380	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	201147697	201148651	954	930	184	203	0.197849
negative_381	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	217028148	217029016	868	844	156	183	0.184834
negative_382	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	27120596	27121499	903	879	156	173	0.177474
negative_383	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	224292573	224293497	924	900	139	156	0.154444
negative_384	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	179138875	179139748	873	849	152	170	0.179034
negative_385	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	158657542	158658426	884	860	153	171	0.177907
negative_386	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	113585721	113586633	912	888	161	182	0.181306
negative_387	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	235948523	235949418	895	871	146	160	0.167623
negative_388	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	144485721	144486642	921	897	154	170	0.171683
negative_389	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	48013220	48014073	853	829	136	142	0.164053
negative_390	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	242378463	242379383	920	896	161	180	0.179688
negative_391	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	162651206	162652133	927	903	165	192	0.182724
negative_392	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	183816592	183817511	919	895	177	203	0.197765
negative_393	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	12958973	12959895	922	898	144	156	0.160356
negative_394	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	91657746	91658619	873	849	149	165	0.175501
negative_395	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	149034198	149035098	900	876	159	172	0.181507
negative_396	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	19189831	19190737	906	882	150	169	0.170068
negative_397	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	176526614	176527542	928	904	180	201	0.199115
negative_398	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	185137894	185138800	906	882	161	188	0.182540
negative_399	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	164529281	164530237	956	932	163	191	0.174893
negative_400	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	28430568	28431511	943	919	161	175	0.175190
negative_401	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	79599638	79600508	870	846	166	185	0.196217
negative_402	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	88402400	88403355	955	931	165	183	0.177229
negative_403	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	30187733	30188653	920	896	164	182	0.183036
negative_404	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	231180780	231181679	899	875	137	153	0.156571
negative_405	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	126026375	126027274	899	875	154	166	0.176000
negative_406	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	95266801	95267750	949	925	163	194	0.176216
negative_407	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	208775830	208776778	948	924	197	216	0.213203
negative_408	CM142247.1 Homo sapiens isolate H9_T2T chromosome 1, whole genome shotgun sequence	175928195	175929180	985	961	189	225	0.196670
